pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
BTC/USDT,990.0,0.02121907,01/01/22 01:00:00,01/02/22 01:00:00,46656.14,47625.29,0.001,0.001,1440,0.01873268,18.56389743,1 day passed,466.5614000000004,-0.99,466.5614000000004,-0.99,46574.06,47954.63,False,,1640998800000.0,1641085200000.0
BTC/USDT,1008.37825846,0.02179261,01/05/22 01:00:00,01/06/22 01:00:00,46271.56,43680.94,0.001,0.001,1440,-0.05787345,-58.41667107,1 day passed,462.7156000000004,-0.99,462.7156000000004,-0.99,42500.0,47070.0,False,,1641344400000.0,1641430800000.0
BTC/USDT,950.5457541,0.02263641,01/08/22 01:00:00,01/09/22 01:00:00,41991.89,41773.24,0.001,0.001,1440,-0.00719456,-6.84559287,1 day passed,419.91890000000035,-0.99,419.91890000000035,-0.99,40501.0,42300.0,False,,1641603600000.0,1641690000000.0
BTC/USDT,943.76861716,0.02207612,01/14/22 01:00:00,01/15/22 01:00:00,42750.66,43100.0,0.001,0.001,1440,0.00615724,5.81682229,1 day passed,427.5066000000004,-0.99,427.5066000000004,-0.99,41725.95,43448.78,False,,1642122000000.0,1642208400000.0
BTC/USDT,949.52727122,0.0220463,01/16/22 01:00:00,01/17/22 01:00:00,43069.69,42891.11,0.001,0.001,1440,-0.00613602,-5.83214584,1 day passed,430.6969000000004,-0.99,430.6969000000004,-0.99,42581.79,43475.0,False,,1642294800000.0,1642381200000.0
BTC/USDT,943.75344684,0.02227841,01/18/22 01:00:00,01/19/22 01:00:00,42361.8,42246.51,0.001,0.001,1440,-0.00471412,-4.45341651,1 day passed,423.6180000000004,-0.99,423.6180000000004,-0.99,41250.0,42691.0,False,,1642467600000.0,1642554000000.0
BTC/USDT,939.3445645,0.02245719,01/20/22 01:00:00,01/21/22 01:00:00,41828.23,40894.81,0.001,0.001,1440,-0.02426897,-22.81971732,1 day passed,418.2823000000004,-0.99,418.2823000000004,-0.99,40404.0,43505.0,False,,1642640400000.0,1642726800000.0
BTC/USDT,916.75304435,0.02512481,01/22/22 01:00:00,01/23/22 01:00:00,36487.96,35401.11,0.001,0.001,1440,-0.03172503,-29.11309897,1 day passed,364.8796000000003,-0.99,364.8796000000003,-0.99,34008.0,36690.0,False,,1642813200000.0,1642899600000.0
BTC/USDT,887.93107637,0.02399526,01/27/22 01:00:00,01/28/22 01:00:00,37004.43,37157.26,0.001,0.001,1440,0.00212379,1.88766655,1 day passed,370.0443000000003,-0.99,370.0443000000003,-0.99,35507.01,37467.98,False,,1643245200000.0,1643331600000.0
BTC/USDT,889.79986625,0.02354699,01/29/22 01:00:00,01/30/22 01:00:00,37788.27,37816.46,0.001,0.001,1440,-0.00125349,-1.11647417,1 day passed,377.8827000000003,-0.99,377.8827000000003,-0.99,37268.44,38720.74,False,,1643418000000.0,1643504400000.0
BTC/USDT,888.69455682,0.02142534,02/06/22 01:00:00,02/07/22 01:00:00,41478.67,41830.54,0.001,0.001,1440,0.0064682,5.75400624,1 day passed,414.78670000000034,-0.99,414.78670000000034,-0.99,41116.56,42656.0,False,,1644109200000.0,1644195600000.0
